Title,Location,Price,Area,Room
                        Apartment Gerard Doustraat                            ,            1073 XB Amsterdam (Oude Pijp)        ,"                €2,250 per month            ",62 m²,3 rooms
                        Apartment Hoogte Kadijk 54 H                            ,            1018 BN Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €2,750 per month            ",93 m²,3 rooms
                        Apartment Zuider IJdijk 1209                            ,            1095 KN Amsterdam (Zeeburgereiland/Nieuwe Diep)        ,"                €1,400 per month            ",45 m²,2 rooms
                        Apartment Gustav Mahlerlaan 853                            ,            1082 MK Amsterdam (Zuidas)        ,"                €1,958 per month            ",94 m²,3 rooms
                        House Johannes Verhulststraat 151 h                            ,            1075 GW Amsterdam (Willemspark)        ,"                €11,000 per month            ",255 m²,10 rooms
                        House Erich Salomonstraat                            ,            1087 JA Amsterdam (IJburg West)        ,"                €2,850 per month            ",158 m²,4 rooms
                        Apartment Noorderkerkstraat 7 hs                            ,            1015 NB Amsterdam (Jordaan)        ,"                €2,100 per month            ",85 m²,2 rooms
                        Project: Q-Residences | Quartz - APPARTEMENT H–B LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €1,350 per month            ",49 m²,2 rooms
                        Project: Q-Residences | Quartz - APPARTEMENT H–D LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €1,350 per month            ",49 m²,2 rooms
                        Project: Q-Residences | Quartz - APPARTEMENT H–G LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €1,900 - €1,925 per month            ",74 m²,3 rooms
                        Project: Q-Residences | Quartz - APPARTEMENT H–I’ LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €2,790 - €2,850 per month            ",107 m²,4 rooms
                        Project: Q-Residences | Quartz - APPARTEMENT H–G’ LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €1,900 - €1,925 per month            ",74 m²,3 rooms
                        Project: Q-Residences | Quartz - APPARTEMENT H–A’ LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €1,650 - €1,675 per month            ",68 m²,3 rooms
                        Project: Q-Residences | Quartz - APPARTEMENT H–D’ LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €1,350 per month            ",49 m²,2 rooms
                        Project: Q-Residences | Quartz - APPARTEMENT H-A LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €1,650 - €1,675 per month            ",68 m²,3 rooms
                        Project: Q-Residences | Quartz - APPARTEMENT H–E LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €1,550 - €1,675 per month            ",61 m²,3 rooms
                        Project: Q-Residences | Quartz - APPARTEMENT H–J LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €1,575 - €1,650 per month            ",62 m²,2 rooms
                        Project: Q-Residences | Quartz - APPARTEMENT H–F LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €1,950 - €2,000 per month            ",77 m²,3 rooms
                        Project: Q-Residences | Quartz - APPARTEMENT H–I LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €2,790 - €2,850 per month            ",107 m²,4 rooms
                        Project: Q-Residences | Quartz - APPARTEMENT H–F’ LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €1,950 - €2,000 per month            ",77 m²,3 rooms
                        Project: Q-Residences | Quartz - APPARTEMENT H–H LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €1,575 - €1,700 per month            ",64 m²,3 rooms
                        Apartment Keizersgracht                            ,            1017 EB Amsterdam (Grachtengordel-Zuid)        ,"                €2,275 per month            ",47 m²,2 rooms
                        House Korenbloemstraat                            ,            1032 GV Amsterdam (Volewijck)        ,"                €2,000 per month            ",75 m²,2 rooms
                        Apartment Hoofdweg 336 1                            ,            1056 DB Amsterdam (Van Galenbuurt)        ,"                €1,700 per month            ",58 m²,2 rooms
                        Apartment Raoul Wallenbergstraat 127                            ,"            1102 AX Amsterdam (Bijlmer Centrum (D,F,H))        ","                €1,825 per month            ",96 m²,3 rooms
                        Apartment Leidsegracht 17 D                            ,            1017 NA Amsterdam (Grachtengordel-Zuid)        ,"                €2,100 per month            ",64 m²,2 rooms
                        Apartment Schollenbrugstraat                            ,            1091 GB Amsterdam (Weesperzijde)        ,"                €3,750 per month            ",120 m²,3 rooms
                        Apartment Wibautstraat                            ,            1091 GS Amsterdam (Weesperzijde)        ,"                €2,295 per month            ",75 m²,3 rooms
                        Apartment Van Nijenrodeweg                            ,            1082 HH Amsterdam (Buitenveldert-West)        ,"                €1,450 per month            ",35 m²,2 rooms
                        Apartment Wolbrantskerkweg                            ,            1069 DA Amsterdam (Osdorp-Midden)        ,"                €2,495 per month            ",132 m²,3 rooms
                        Apartment Courbetstraat 11 1                            ,            1077 ZP Amsterdam (Apollobuurt)        ,"                €2,600 per month            ",79 m²,3 rooms
                        Apartment Madurastraat 16 H                            ,            1094 GL Amsterdam (Indische Buurt West)        ,"                €2,575 per month            ",65 m²,3 rooms
                        Apartment Hoogte Kadijk 54 H                            ,            1018 BN Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €2,750 per month            ",93 m²,3 rooms
                        Apartment Gerard Doustraat                            ,            1073 XB Amsterdam (Oude Pijp)        ,"                €2,250 per month            ",62 m²,3 rooms
                        Apartment De Lierhof 72                            ,            1059 WE Amsterdam (Westlandgracht)        ,"                €2,450 per month            ",116 m²,3 rooms
                        Apartment Wiborgeiland                            ,            1014 ZC Amsterdam (Houthavens)        ,"                €6,500 per month            ",169 m²,6 rooms
                        Apartment Rozengracht 243 HS                            ,            1016 SX Amsterdam (Jordaan)        ,"                €3,000 per month            ",142 m²,4 rooms
                        Apartment Reinwardtstraat                            ,            1093 GT Amsterdam (Dapperbuurt)        ,"                €1,475 per month            ",48 m²,2 rooms
                        Apartment Westerstraat 121 2                            ,            1015 LZ Amsterdam (Jordaan)        ,"                €2,400 per month            ",74 m²,2 rooms
                        Apartment Herengracht 455 C                            ,            1017 BS Amsterdam (Grachtengordel-Zuid)        ,"                €2,750 per month            ",80 m²,3 rooms
                        Apartment Edisonstraat                            ,            1098 TA Amsterdam (Middenmeer)        ,"                €2,000 per month            ",81 m²,3 rooms
                        Apartment Plantage Kerklaan 22 II                            ,            1018 TB Amsterdam (Weesperbuurt/Plantage)        ,"                €1,975 per month            ",65 m²,2 rooms
                        Apartment Lia Doranastraat 53                            ,            1031 HK Amsterdam (Noordelijke IJ-oevers West)        ,"                €2,108 per month            ",124 m²,3 rooms
                        Apartment Mr. P.N. Arntzeniusweg 41 huis                            ,            1098 GL Amsterdam (Middenmeer)        ,"                €2,200 per month            ",92 m²,3 rooms
                        Apartment Admiralengracht                            ,            1056 EB Amsterdam (Van Galenbuurt)        ,"                €2,350 per month            ",64 m²,3 rooms
                        Apartment Czaar Peterstraat                            ,            1018 PR Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €1,850 per month            ",58 m²,2 rooms
                        Apartment Wilhelminastraat 29 1                            ,            1054 VV Amsterdam (Helmersbuurt)        ,"                €1,800 per month            ",52 m²,2 rooms
                        Apartment Mercatorplein                            ,            1056 CL Amsterdam (Van Galenbuurt)        ,"                €1,900 per month            ",85 m²,2 rooms
                        Apartment President Kennedylaan                            ,            1079 NJ Amsterdam (Rijnbuurt)        ,"                €2,750 per month            ",111 m²,5 rooms
                        Apartment Groenburgwal 35 A                            ,            1011 HS Amsterdam (Nieuwmarkt/Lastage)        ,"                €2,450 per month            ",70 m²,2 rooms
                        Apartment Herengracht 289 E                            ,            1016 BL Amsterdam (Grachtengordel-West)        ,"                €1,750 per month            ",75 m²,2 rooms
                        Apartment Eerste Passeerdersdwarsstraat 76                            ,            1016 XD Amsterdam (Jordaan)        ,"                €1,850 per month            ",70 m²,2 rooms
                        Studio John M. Keynesplein 2                            ,            1066 EP Amsterdam (Sloter-/Riekerpolder)        ,"                €1,545 per month            ",23 m²,1 room
                        Apartment Buitendraaierij 10                            ,            1021 NN Amsterdam (IJplein/Vogelbuurt)        ,"                €1,550 per month            ",46 m²,2 rooms
                        Project: The Hub Apartments - The Hub Apartments | Type T2                            ,            1068 TD Amsterdam (Osdorp-Oost)        ,"                €1,530 - €1,650 per month            ",59 m²,2 rooms
                        Project: The Hub Apartments - The Hub Apartments | Type T7                            ,            1068 TD Amsterdam (Osdorp-Oost)        ,"                €2,045 per month            ",75 m²,3 rooms
                        Project: The Hub Apartments - The Hub Apartments | Type T1                            ,            1068 TD Amsterdam (Osdorp-Oost)        ,"                €1,530 - €1,650 per month            ",58 m²,2 rooms
                        Project: The Hub Apartments - The Hub Apartments | Type T5                            ,            1068 TD Amsterdam (Osdorp-Oost)        ,"                €1,540 - €1,550 per month            ",58 m²,2 rooms
                        Project: The Hub Apartments - The Hub Apartments | Type T6                            ,            1068 TD Amsterdam (Osdorp-Oost)        ,"                €1,540 - €1,550 per month            ",59 m²,2 rooms
                        Project: The Hub Apartments - The Hub Apartments | Type T8                            ,            1068 TD Amsterdam (Osdorp-Oost)        ,"                €1,825 - €1,860 per month            ",64 m²,3 rooms
                        Project: The Hub Apartments - The Hub Apartments | Type T10                            ,            1068 TD Amsterdam (Osdorp-Oost)        ,"                €1,320 - €1,350 per month            ",47 m²,2 rooms
                        Project: The Hub Apartments - The Hub Apartments | Type T3                            ,            1068 TD Amsterdam (Osdorp-Oost)        ,"                €1,770 - €1,830 per month            ",63 m²,3 rooms
                        Project: The Hub Apartments - The Hub Apartments | Type T4                            ,            1068 TD Amsterdam (Osdorp-Oost)        ,"                €1,795 - €1,805 per month            ",63 m²,3 rooms
                        Project: The Hub Apartments - The Hub Apartments | Type T9                            ,            1068 TD Amsterdam (Osdorp-Oost)        ,"                €1,380 - €1,415 per month            ",52 m²,2 rooms
                        Apartment Hoogte Kadijk 54 H                            ,            1018 BN Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €2,750 per month            ",93 m²,3 rooms
                        Apartment Gerard Doustraat                            ,            1073 XB Amsterdam (Oude Pijp)        ,"                €2,250 per month            ",62 m²,3 rooms
                        Apartment Vasco da Gamastraat                            ,            1057 VM Amsterdam (Hoofdweg e.o.)        ,"                €1,645 per month            ",52 m²,2 rooms
