Title,Location,Price,Area,Room
                        Apartment Hoogte Kadijk 54 H                            ,            1018 BN Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €2,750 per month            ",93 m²,3 rooms
                        Apartment Surinameplein                            ,            1058 GH Amsterdam (Hoofddorppleinbuurt)        ,"                €2,200 per month            ",80 m²,4 rooms
                        Apartment Des Présstraat                            ,            1075 NZ Amsterdam (Willemspark)        ,"                €2,850 per month            ",92 m²,4 rooms
                        Apartment Koninginneweg 175 H                            ,            1075 CP Amsterdam (Willemspark)        ,"                €5,500 per month            ",149 m²,4 rooms
                        Apartment Kaasjeskruidstraat 26                            ,            1032 LS Amsterdam (Noordelijke IJ-oevers West)        ,"                €2,250 per month            ",25 m²,1 room
                        House Haarlemmerweg                            ,            1051 KX Amsterdam (Staatsliedenbuurt)        ,"                €1,850 per month            ",55 m²,2 rooms
                        Apartment Nieuwegrachtje 3 2                            ,            1011 VP Amsterdam (Nieuwmarkt/Lastage)        ,"                €2,850 per month            ",87 m²,3 rooms
                        Apartment Amazonenstraat                            ,            1076 LD Amsterdam (Stadionbuurt)        ,"                €1,850 per month            ",51 m²,3 rooms
                        Apartment Tilanusstraat                            ,            1091 BG Amsterdam (Oosterparkbuurt)        ,"                €1,800 per month            ",65 m²,2 rooms
                        Apartment Spuistraat                            ,            1012 SP Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €1,950 per month            ",75 m²,4 rooms
                        Apartment Bezaanjachtplein 17                            ,            1034 CR Amsterdam (Banne Buiksloot)        ,"                €1,475 per month            ",59 m²,2 rooms
                        Apartment Gerard Doustraat                            ,            1073 XD Amsterdam (Oude Pijp)        ,"                €1,850 per month            ",45 m²,2 rooms
                        Apartment Prinsengracht 693 C                            ,            1017 JV Amsterdam (Grachtengordel-Zuid)        ,"                €2,300 per month            ",70 m²,3 rooms
                        Apartment Kloveniersburgwal                            ,            1011 JT Amsterdam (Nieuwmarkt/Lastage)        ,"                €1,800 per month            ",44 m²,2 rooms
                        Apartment Korte Ouderkerkerdijk                            ,            1096 AC Amsterdam (Omval/Overamstel)        ,"                €8,000 per month            ",191 m²,4 rooms
                        Apartment Stadionweg 318 III                            ,            1076 PK Amsterdam (Stadionbuurt)        ,"                €2,500 per month            ",100 m²,5 rooms
                        Apartment Willem de Zwijgerlaan                            ,            1055 RB Amsterdam (Landlust)        ,"                €1,500 per month            ",51 m²,2 rooms
                        House Baanbrugsteeg 1 a                            ,            1013 HM Amsterdam (Haarlemmerbuurt)        ,"                €3,950 per month            ",130 m²,4 rooms
                        Apartment Nicolaas Maesstraat                            ,            1071 PR Amsterdam (Museumkwartier)        ,"                €6,000 per month            ",151 m²,4 rooms
                        Apartment Groenmarktkade                            ,            1016 TA Amsterdam (Jordaan)        ,"                €2,150 per month            ",66 m²,3 rooms
                        Apartment Zieseniskade 13 A                            ,            1017 RS Amsterdam (De Weteringschans)        ,"                €2,900 per month            ",67 m²,3 rooms
                        Apartment Nassaukade                            ,            1053 LM Amsterdam (Da Costabuurt)        ,"                €2,600 per month            ",93 m²,2 rooms
                        Apartment Kratontuin                            ,            1019 SL Amsterdam (Oostelijk Havengebied)        ,"                €2,500 per month            ",81 m²,3 rooms
                        Apartment Zuider IJdijk 1209                            ,            1095 KN Amsterdam (Zeeburgereiland/Nieuwe Diep)        ,"                €1,400 per month            ",45 m²,2 rooms
                        Apartment Gustav Mahlerlaan 853                            ,            1082 MK Amsterdam (Zuidas)        ,"                €1,958 per month            ",94 m²,3 rooms
                        House Johannes Verhulststraat 151 h                            ,            1075 GW Amsterdam (Willemspark)        ,"                €11,000 per month            ",255 m²,10 rooms
                        House Erich Salomonstraat                            ,            1087 JA Amsterdam (IJburg West)        ,"                €2,850 per month            ",158 m²,4 rooms
                        Apartment Noorderkerkstraat 7 hs                            ,            1015 NB Amsterdam (Jordaan)        ,"                €2,100 per month            ",85 m²,2 rooms
                        Project: Q-Residences | Quartz - APPARTEMENT H–F LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €1,950 - €2,000 per month            ",77 m²,3 rooms
                        Project: Q-Residences | Quartz - APPARTEMENT H–I LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €2,790 - €2,850 per month            ",107 m²,4 rooms
                        Project: Q-Residences | Quartz - APPARTEMENT H–F’ LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €1,950 - €2,000 per month            ",77 m²,3 rooms
